t,ax,ay,ayaw,av,aomega,ox0,oy0,ovx0,ovy0,or0,ox1,oy1,ovx1,ovy1,or1,ox2,oy2,ovx2,ovy2,or2,ox3,oy3,ovx3,ovy3,or3,ox4,oy4,ovx4,ovy4,or4,ox5,oy5,ovx5,ovy5,or5,ox6,oy6,ovx6,ovy6,or6,ox7,oy7,ovx7,ovy7,or7
0.034,50.0,50.0,0.0,0.0,0.0,732.44,429.58,-62.57,-82.36,10.0,519.96,476.67,72.64,37.56,10.0,168.43,566.72,-48.04,-92.24,10.0,443.18,558.53,30.16,31.02,10.0,502.3,335.89,7.27,-62.16,10.0,217.04,68.7,-55.99,8.45,10.0,656.84,346.44,-65.25,17.47,10.0,110.54,123.43,-2.8,-63.33,10.0
0.052,50.27,50.0,0.0,15.0,-0.0,731.32,428.09,-62.57,-82.36,10.0,521.27,477.35,72.64,37.56,10.0,167.56,565.06,-48.04,-92.24,10.0,443.72,559.09,30.16,31.02,10.0,502.43,334.77,7.27,-62.16,10.0,216.03,68.86,-55.99,8.45,10.0,655.67,346.76,-65.25,17.47,10.0,110.49,122.29,-2.8,-63.33,10.0
0.069,50.78,50.0,0.0,30.0,-0.0,730.25,426.69,-62.57,-82.36,10.0,522.5,477.99,72.64,37.56,10.0,166.75,563.49,-48.04,-92.24,10.0,444.24,559.62,30.16,31.02,10.0,502.55,333.71,7.27,-62.16,10.0,215.08,69.0,-55.99,8.45,10.0,654.56,347.05,-65.25,17.47,10.0,110.45,121.21,-2.8,-63.33,10.0
0.086,51.61,50.0,0.0,49.0,-0.0,729.19,425.29,-62.57,-82.36,10.0,523.74,478.63,72.64,37.56,10.0,165.93,561.92,-48.04,-92.24,10.0,444.75,560.14,30.16,31.02,10.0,502.68,332.66,7.27,-62.16,10.0,214.13,69.14,-55.99,8.45,10.0,653.45,347.35,-65.25,17.47,10.0,110.4,120.14,-2.8,-63.33,10.0
0.103,52.77,50.0,0.0,68.0,-0.0,728.13,423.89,-62.57,-82.36,10.0,524.97,479.27,72.64,37.56,10.0,165.11,560.35,-48.04,-92.24,10.0,445.26,560.67,30.16,31.02,10.0,502.8,331.6,7.27,-62.16,10.0,213.18,69.29,-55.99,8.45,10.0,652.34,347.65,-65.25,17.47,10.0,110.35,119.06,-2.8,-63.33,10.0
0.119,54.16,50.0,0.0,87.0,-0.0,727.13,422.58,-62.57,-82.36,10.0,526.14,479.87,72.64,37.56,10.0,164.34,558.88,-48.04,-92.24,10.0,445.74,561.17,30.16,31.02,10.0,502.92,330.61,7.27,-62.16,10.0,212.28,69.42,-55.99,8.45,10.0,651.29,347.93,-65.25,17.47,10.0,110.31,118.05,-2.8,-63.33,10.0
0.136,55.71,50.0,0.0,91.0,-0.0,726.06,421.18,-62.57,-82.36,10.0,527.37,480.51,72.64,37.56,10.0,163.53,557.31,-48.04,-92.24,10.0,446.26,561.69,30.16,31.02,10.0,503.04,329.55,7.27,-62.16,10.0,211.33,69.56,-55.99,8.45,10.0,650.18,348.22,-65.25,17.47,10.0,110.26,116.97,-2.8,-63.33,10.0
0.152,57.23,50.01,0.005,95.0,0.3,725.06,419.86,-62.57,-82.36,10.0,528.53,481.11,72.64,37.56,10.0,162.76,555.83,-48.04,-92.24,10.0,446.74,562.19,30.16,31.02,10.0,503.16,328.55,7.27,-62.16,10.0,210.43,69.7,-55.99,8.45,10.0,649.14,348.5,-65.25,17.47,10.0,110.21,115.96,-2.8,-63.33,10.0
0.169,58.66,50.01,0.005,84.0,-0.0,724.0,418.46,-62.57,-82.36,10.0,529.77,481.74,72.64,37.56,10.0,161.94,554.27,-48.04,-92.24,10.0,447.25,562.72,30.16,31.02,10.0,503.28,327.5,7.27,-62.16,10.0,209.48,69.84,-55.99,8.45,10.0,648.03,348.8,-65.25,17.47,10.0,110.17,114.88,-2.8,-63.33,10.0
0.186,60.15,50.02,0.005,88.0,-0.0,722.93,417.06,-62.57,-82.36,10.0,531.0,482.38,72.64,37.56,10.0,161.13,552.7,-48.04,-92.24,10.0,447.77,563.25,30.16,31.02,10.0,503.4,326.44,7.27,-62.16,10.0,208.53,69.99,-55.99,8.45,10.0,646.92,349.1,-65.25,17.47,10.0,110.12,113.81,-2.8,-63.33,10.0
0.204,61.27,50.04,0.016,62.0,0.6,721.81,415.58,-62.57,-82.36,10.0,532.31,483.06,72.64,37.56,10.0,160.26,551.04,-48.04,-92.24,10.0,448.31,563.8,30.16,31.02,10.0,503.53,325.32,7.27,-62.16,10.0,207.52,70.14,-55.99,8.45,10.0,645.75,349.41,-65.25,17.47,10.0,110.07,112.67,-2.8,-63.33,10.0
0.256,63.13,50.18,0.078,36.0,1.2,718.55,411.29,-62.57,-82.36,10.0,536.09,485.01,72.64,37.56,10.0,157.76,546.24,-48.04,-92.24,10.0,449.88,565.42,30.16,31.02,10.0,503.91,322.09,7.27,-62.16,10.0,204.61,70.58,-55.99,8.45,10.0,642.36,350.32,-65.25,17.47,10.0,109.92,109.37,-2.8,-63.33,10.0
0.277,63.34,50.2,0.091,10.0,0.6,717.24,409.56,-62.57,-82.36,10.0,537.61,485.8,72.64,37.56,10.0,156.75,544.3,-48.04,-92.24,10.0,450.51,566.07,30.16,31.02,10.0,504.06,320.79,7.27,-62.16,10.0,203.43,70.76,-55.99,8.45,10.0,640.98,350.69,-65.25,17.47,10.0,109.87,108.04,-2.8,-63.33,10.0
0.302,63.34,50.2,0.091,0.0,-0.0,715.68,407.5,-62.57,-82.36,10.0,539.43,486.74,72.64,37.56,10.0,155.55,542.0,-48.04,-92.24,10.0,451.26,566.84,30.16,31.02,10.0,504.25,319.23,7.27,-62.16,10.0,202.03,70.97,-55.99,8.45,10.0,639.35,351.12,-65.25,17.47,10.0,109.8,106.46,-2.8,-63.33,10.0
0.334,63.34,50.2,0.071,0.0,-0.6,713.67,404.87,-62.57,-82.36,10.0,541.75,487.94,72.64,37.56,10.0,154.02,539.05,-48.04,-92.24,10.0,452.23,567.84,30.16,31.02,10.0,504.48,317.24,7.27,-62.16,10.0,200.24,71.24,-55.99,8.45,10.0,637.27,351.68,-65.25,17.47,10.0,109.71,104.43,-2.8,-63.33,10.0
0.358,63.34,50.2,0.043,0.0,-1.2,712.17,402.89,-62.57,-82.36,10.0,543.5,488.84,72.64,37.56,10.0,152.86,536.83,-48.04,-92.24,10.0,452.95,568.58,30.16,31.02,10.0,504.65,315.75,7.27,-62.16,10.0,198.9,71.44,-55.99,8.45,10.0,635.7,352.1,-65.25,17.47,10.0,109.64,102.91,-2.8,-63.33,10.0
0.379,63.34,50.2,0.005,0.0,-1.8,710.86,401.16,-62.57,-82.36,10.0,545.02,489.63,72.64,37.56,10.0,151.85,534.9,-48.04,-92.24,10.0,453.59,569.23,30.16,31.02,10.0,504.81,314.45,7.27,-62.16,10.0,197.72,71.62,-55.99,8.45,10.0,634.33,352.47,-65.25,17.47,10.0,109.58,101.58,-2.8,-63.33,10.0
0.4,63.34,50.2,-0.046,0.0,-2.4,709.54,399.43,-62.57,-82.36,10.0,546.55,490.42,72.64,37.56,10.0,150.85,532.96,-48.04,-92.24,10.0,454.22,569.88,30.16,31.02,10.0,504.96,313.14,7.27,-62.16,10.0,196.55,71.79,-55.99,8.45,10.0,632.96,352.84,-65.25,17.47,10.0,109.52,100.25,-2.8,-63.33,10.0
0.421,63.34,50.2,-0.098,0.0,-2.5,708.23,397.7,-62.57,-82.36,10.0,548.07,491.21,72.64,37.56,10.0,149.84,531.02,-48.04,-92.24,10.0,454.85,570.53,30.16,31.02,10.0,505.11,311.83,7.27,-62.16,10.0,195.37,71.97,-55.99,8.45,10.0,631.59,353.2,-65.25,17.47,10.0,109.46,98.92,-2.8,-63.33,10.0
0.453,63.34,50.2,-0.178,0.0,-2.5,706.23,395.07,-62.57,-82.36,10.0,550.4,492.41,72.64,37.56,10.0,148.3,528.07,-48.04,-92.24,10.0,455.82,571.53,30.16,31.02,10.0,505.34,309.85,7.27,-62.16,10.0,193.58,72.24,-55.99,8.45,10.0,629.5,353.76,-65.25,17.47,10.0,109.37,96.9,-2.8,-63.33,10.0
0.469,63.34,50.2,-0.218,0.0,-2.5,705.23,393.75,-62.57,-82.36,10.0,551.56,493.01,72.64,37.56,10.0,147.53,526.6,-48.04,-92.24,10.0,456.3,572.02,30.16,31.02,10.0,505.46,308.85,7.27,-62.16,10.0,192.68,72.38,-55.99,8.45,10.0,628.46,354.04,-65.25,17.47,10.0,109.33,95.88,-2.8,-63.33,10.0
0.486,63.34,50.2,-0.261,0.0,-2.5,704.16,392.35,-62.57,-82.36,10.0,552.8,493.65,72.64,37.56,10.0,146.71,525.03,-48.04,-92.24,10.0,456.81,572.55,30.16,31.02,10.0,505.58,307.79,7.27,-62.16,10.0,191.73,72.52,-55.99,8.45,10.0,627.35,354.34,-65.25,17.47,10.0,109.28,94.81,-2.8,-63.33,10.0
0.503,63.34,50.2,-0.303,0.0,-2.5,703.1,390.95,-62.57,-82.36,10.0,554.03,494.29,72.64,37.56,10.0,145.9,523.46,-48.04,-92.24,10.0,457.33,573.08,30.16,31.02,10.0,505.71,306.74,7.27,-62.16,10.0,190.78,72.66,-55.99,8.45,10.0,626.24,354.63,-65.25,17.47,10.0,109.23,93.73,-2.8,-63.33,10.0
0.519,63.34,50.2,-0.343,0.0,-2.5,702.1,389.63,-62.57,-82.36,10.0,555.19,494.89,72.64,37.56,10.0,145.13,521.98,-48.04,-92.24,10.0,457.81,573.57,30.16,31.02,10.0,505.82,305.74,7.27,-62.16,10.0,189.88,72.8,-55.99,8.45,10.0,625.2,354.91,-65.25,17.47,10.0,109.19,92.72,-2.8,-63.33,10.0
0.536,63.34,50.2,-0.386,0.0,-2.5,701.04,388.23,-62.57,-82.36,10.0,556.43,495.53,72.64,37.56,10.0,144.31,520.42,-48.04,-92.24,10.0,458.32,574.1,30.16,31.02,10.0,505.95,304.69,7.27,-62.16,10.0,188.93,72.94,-55.99,8.45,10.0,624.09,355.21,-65.25,17.47,10.0,109.14,91.64,-2.8,-63.33,10.0
0.553,63.34,50.2,-0.428,0.0,-2.5,699.97,386.83,-62.57,-82.36,10.0,557.66,496.17,72.64,37.56,10.0,143.5,518.85,-48.04,-92.24,10.0,458.83,574.63,30.16,31.02,10.0,506.07,303.63,7.27,-62.16,10.0,187.98,73.09,-55.99,8.45,10.0,622.98,355.51,-65.25,17.47,10.0,109.09,90.56,-2.8,-63.33,10.0
0.57,63.34,50.2,-0.471,0.0,-2.5,698.91,385.43,-62.57,-82.36,10.0,558.9,496.81,72.64,37.56,10.0,142.68,517.28,-48.04,-92.24,10.0,459.35,575.16,30.16,31.02,10.0,506.19,302.57,7.27,-62.16,10.0,187.03,73.23,-55.99,8.45,10.0,621.87,355.8,-65.25,17.47,10.0,109.05,89.49,-2.8,-63.33,10.0
0.587,63.34,50.2,-0.513,0.0,-2.5,697.84,384.03,-62.57,-82.36,10.0,560.13,497.44,72.64,37.56,10.0,141.86,515.71,-48.04,-92.24,10.0,459.86,575.68,30.16,31.02,10.0,506.32,301.52,7.27,-62.16,10.0,186.08,73.37,-55.99,8.45,10.0,620.76,356.1,-65.25,17.47,10.0,109.0,88.41,-2.8,-63.33,10.0
0.604,63.34,50.2,-0.556,0.0,-2.5,696.78,382.63,-62.57,-82.36,10.0,561.37,498.08,72.64,37.56,10.0,141.05,514.14,-48.04,-92.24,10.0,460.37,576.21,30.16,31.02,10.0,506.44,300.46,7.27,-62.16,10.0,185.12,73.52,-55.99,8.45,10.0,619.65,356.4,-65.25,17.47,10.0,108.95,87.33,-2.8,-63.33,10.0
0.621,63.34,50.2,-0.598,0.0,-2.5,695.72,381.23,-62.57,-82.36,10.0,562.6,498.72,72.64,37.56,10.0,140.23,512.58,-48.04,-92.24,10.0,460.89,576.74,30.16,31.02,10.0,506.56,299.4,7.27,-62.16,10.0,184.17,73.66,-55.99,8.45,10.0,618.54,356.7,-65.25,17.47,10.0,108.9,86.26,-2.8,-63.33,10.0
0.646,63.34,50.2,-0.661,0.0,-2.5,694.15,379.17,-62.57,-82.36,10.0,564.42,499.66,72.64,37.56,10.0,139.03,510.27,-48.04,-92.24,10.0,461.64,577.51,30.16,31.02,10.0,506.75,297.85,7.27,-62.16,10.0,182.77,73.87,-55.99,8.45,10.0,616.91,357.13,-65.25,17.47,10.0,108.83,84.67,-2.8,-63.33,10.0
0.663,63.34,50.2,-0.703,0.0,-2.5,693.09,377.77,-62.57,-82.36,10.0,565.65,500.3,72.64,37.56,10.0,138.21,508.7,-48.04,-92.24,10.0,462.15,578.04,30.16,31.02,10.0,506.87,296.79,7.27,-62.16,10.0,181.82,74.02,-55.99,8.45,10.0,615.8,357.43,-65.25,17.47,10.0,108.79,83.6,-2.8,-63.33,10.0
0.679,63.34,50.2,-0.743,0.0,-2.5,692.09,376.45,-62.57,-82.36,10.0,566.82,500.9,72.64,37.56,10.0,137.44,507.23,-48.04,-92.24,10.0,462.63,578.54,30.16,31.02,10.0,506.99,295.8,7.27,-62.16,10.0,180.92,74.15,-55.99,8.45,10.0,614.76,357.71,-65.25,17.47,10.0,108.74,82.58,-2.8,-63.33,10.0
0.696,63.34,50.2,-0.786,0.0,-2.5,691.02,375.05,-62.57,-82.36,10.0,568.05,501.54,72.64,37.56,10.0,136.63,505.66,-48.04,-92.24,10.0,463.15,579.06,30.16,31.02,10.0,507.11,294.74,7.27,-62.16,10.0,179.97,74.29,-55.99,8.45,10.0,613.65,358.01,-65.25,17.47,10.0,108.69,81.51,-2.8,-63.33,10.0
0.712,63.34,50.2,-0.826,0.0,-2.5,690.02,373.74,-62.57,-82.36,10.0,569.21,502.14,72.64,37.56,10.0,135.86,504.18,-48.04,-92.24,10.0,463.63,579.56,30.16,31.02,10.0,507.23,293.75,7.27,-62.16,10.0,179.08,74.43,-55.99,8.45,10.0,612.6,358.28,-65.25,17.47,10.0,108.65,80.49,-2.8,-63.33,10.0
0.729,63.34,50.2,-0.868,0.0,-2.5,688.96,372.34,-62.57,-82.36,10.0,570.45,502.78,72.64,37.56,10.0,135.04,502.61,-48.04,-92.24,10.0,464.14,580.09,30.16,31.02,10.0,507.35,292.69,7.27,-62.16,10.0,178.13,74.57,-55.99,8.45,10.0,611.49,358.58,-65.25,17.47,10.0,108.6,79.42,-2.8,-63.33,10.0
0.745,63.34,50.2,-0.908,0.0,-2.5,687.96,371.02,-62.57,-82.36,10.0,571.61,503.38,72.64,37.56,10.0,134.27,501.14,-48.04,-92.24,10.0,464.63,580.58,30.16,31.02,10.0,507.47,291.7,7.27,-62.16,10.0,177.23,74.71,-55.99,8.45,10.0,610.45,358.86,-65.25,17.47,10.0,108.56,78.4,-2.8,-63.33,10.0
0.761,63.34,50.2,-0.948,0.0,-2.5,686.96,369.7,-62.57,-82.36,10.0,572.77,503.98,72.64,37.56,10.0,133.5,499.66,-48.04,-92.24,10.0,465.11,581.08,30.16,31.02,10.0,507.58,290.7,7.27,-62.16,10.0,176.33,74.84,-55.99,8.45,10.0,609.41,359.14,-65.25,17.47,10.0,108.51,77.39,-2.8,-63.33,10.0
0.779,63.34,50.2,-0.993,0.0,-2.5,685.83,368.22,-62.57,-82.36,10.0,574.08,504.66,72.64,37.56,10.0,132.64,498.0,-48.04,-92.24,10.0,465.65,581.64,30.16,31.02,10.0,507.71,289.58,7.27,-62.16,10.0,175.33,75.0,-55.99,8.45,10.0,608.23,359.45,-65.25,17.47,10.0,108.46,76.25,-2.8,-63.33,10.0
0.796,63.34,50.2,-1.036,0.0,-2.5,684.77,366.82,-62.57,-82.36,10.0,575.32,505.29,72.64,37.56,10.0,131.82,496.43,-48.04,-92.24,10.0,466.16,582.17,30.16,31.02,10.0,507.84,288.53,7.27,-62.16,10.0,174.37,75.14,-55.99,8.45,10.0,607.12,359.75,-65.25,17.47,10.0,108.41,75.17,-2.8,-63.33,10.0
0.813,63.34,50.2,-1.078,0.0,-2.5,683.7,365.42,-62.57,-82.36,10.0,576.55,505.93,72.64,37.56,10.0,131.01,494.87,-48.04,-92.24,10.0,466.68,582.69,30.16,31.02,10.0,507.96,287.47,7.27,-62.16,10.0,173.42,75.28,-55.99,8.45,10.0,606.01,360.05,-65.25,17.47,10.0,108.37,74.1,-2.8,-63.33,10.0
0.83,63.34,50.2,-1.121,0.0,-2.5,682.64,364.02,-62.57,-82.36,10.0,577.78,506.57,72.64,37.56,10.0,130.19,493.3,-48.04,-92.24,10.0,467.19,583.22,30.16,31.02,10.0,508.08,286.41,7.27,-62.16,10.0,172.47,75.43,-55.99,8.45,10.0,604.9,360.35,-65.25,17.47,10.0,108.32,73.02,-2.8,-63.33,10.0
0.875,63.34,50.2,-1.233,0.0,-2.5,679.82,360.31,-62.57,-82.36,10.0,581.05,508.26,72.64,37.56,10.0,128.03,489.15,-48.04,-92.24,10.0,468.55,584.62,30.16,31.02,10.0,508.41,283.62,7.27,-62.16,10.0,169.95,75.81,-55.99,8.45,10.0,601.97,361.13,-65.25,17.47,10.0,108.19,70.17,-2.8,-63.33,10.0
